code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
550281,Hybrálec,365,257,253,"11,46","0,39","0,00","4,74","0,00","5,53","3,95","3,16","2,37","0,79","0,00","0,00","11,46","0,00","6,32","32,80","0,00","4,74","0,00","0,00","0,79","0,00","10,67","0,79"
587249,Jamné,424,284,283,"6,71","0,35","0,00","6,71","0,00","2,47","16,60","1,41","1,41","0,70","0,00","0,00","13,42","0,00","5,30","21,55","0,35","12,72","0,00","0,70","0,70","0,00","8,48","0,35"
587265,Jersín,151,106,106,"7,54","0,00","0,00","10,37","0,00","5,66","6,60","0,00","0,00","0,94","0,00","0,00","6,60","0,00","1,88","27,35","0,00","6,60","0,00","1,88","0,00","0,00","23,58","0,94"
587273,Jezdovice,202,125,124,"4,03","0,00","0,00","14,51","0,00","4,83","9,67","0,00","0,00","1,61","0,00","0,00","8,87","0,00","3,22","26,61","0,00","14,51","0,00","0,80","0,00","0,80","10,48","0,00"
587281,Ježená,105,68,68,"8,82","0,00","0,00","0,00","0,00","1,47","14,70","2,94","0,00","1,47","0,00","0,00","7,35","0,00","4,41","42,64","0,00","0,00","0,00","1,47","0,00","0,00","14,70","0,00"
586846,Jihlava,40184,24352,24132,"11,89","0,10","0,07","8,15","0,07","3,02","7,67","1,92","0,58","2,09","0,07","0,09","10,86","0,08","5,35","28,25","0,19","5,61","0,03","0,80","0,21","0,23","12,19","0,34"
587290,Jihlávka,178,104,103,"7,76","0,00","0,00","13,59","0,00","1,94","8,73","0,00","0,00","1,94","0,00","0,00","2,91","0,00","0,97","37,86","0,97","7,76","0,00","0,97","0,00","0,00","14,56","0,00"
587303,Jindřichovice,83,62,62,"25,80","0,00","0,00","8,06","0,00","1,61","19,35","0,00","0,00","3,22","0,00","0,00","3,22","0,00","1,61","12,90","1,61","16,12","0,00","0,00","0,00","0,00","6,45","0,00"
587320,Kalhov,105,65,64,"9,37","0,00","0,00","17,18","0,00","1,56","14,06","0,00","1,56","3,12","0,00","0,00","10,93","0,00","1,56","21,87","0,00","10,93","0,00","1,56","0,00","0,00","6,25","0,00"
587338,Kaliště,138,97,97,"8,24","0,00","0,00","9,27","1,03","1,03","9,27","0,00","1,03","3,09","0,00","0,00","13,40","0,00","1,03","35,05","0,00","3,09","0,00","0,00","0,00","0,00","10,30","4,12"
587346,Kamenice,1515,1024,1019,"5,29","0,39","0,00","9,12","0,09","4,02","9,61","0,49","1,07","1,66","0,00","0,00","9,81","0,09","3,72","26,00","0,39","15,21","0,00","1,27","0,19","0,09","11,18","0,19"
587362,Kamenná,158,100,100,"5,00","0,00","0,00","11,00","1,00","1,00","16,00","2,00","0,00","0,00","0,00","0,00","6,00","0,00","1,00","32,00","0,00","4,00","0,00","0,00","0,00","1,00","20,00","0,00"
587371,Klatovec,63,50,50,"10,00","0,00","0,00","8,00","0,00","10,00","20,00","0,00","2,00","0,00","0,00","0,00","2,00","0,00","6,00","26,00","2,00","6,00","0,00","0,00","0,00","0,00","8,00","0,00"
590843,Kněžice,1116,657,651,"10,90","0,00","0,15","7,68","0,00","5,83","9,06","0,92","0,76","0,61","0,46","0,00","5,52","0,00","1,07","27,64","0,15","15,97","0,00","0,92","0,00","0,15","11,82","0,30"
587389,Knínice,153,106,106,"12,26","0,00","0,00","13,20","0,00","1,88","16,03","0,00","0,00","0,00","0,94","0,00","16,03","0,00","3,77","15,09","0,00","12,26","0,00","0,00","0,00","0,00","8,49","0,00"
587401,Kostelec,700,404,403,"5,95","0,00","0,00","6,45","0,24","1,98","10,66","2,23","0,49","1,73","0,00","0,00","10,17","0,00","4,21","36,97","0,00","3,97","0,00","1,24","0,74","0,00","11,16","1,73"
587419,Kostelní Myslová,49,35,35,"2,85","0,00","5,71","5,71","0,00","5,71","8,57","0,00","0,00","0,00","0,00","0,00","42,85","0,00","11,42","2,85","0,00","8,57","0,00","0,00","0,00","2,85","2,85","0,00"
587427,Kozlov,374,269,269,"15,61","0,00","0,00","10,78","0,37","2,97","8,55","0,00","0,74","1,11","0,37","0,00","5,20","0,00","1,48","26,39","1,48","10,40","0,00","0,74","0,74","0,37","10,78","1,85"
587435,Krahulčí,497,299,297,"10,43","0,00","0,00","3,03","0,00","8,08","9,42","0,67","1,68","1,68","0,00","0,00","9,09","0,00","3,03","35,69","0,00","4,37","0,00","0,33","0,00","0,00","11,78","0,67"
587443,Krasonice,168,109,109,"0,91","0,00","0,00","8,25","0,00","3,66","18,34","0,00","0,91","1,83","0,00","0,00","15,59","0,00","9,17","18,34","0,00","18,34","0,00","0,00","0,91","0,00","3,66","0,00"
587451,Lhotka,75,58,58,"13,79","0,00","0,00","15,51","0,00","3,44","1,72","1,72","0,00","0,00","0,00","0,00","5,17","0,00","1,72","27,58","0,00","13,79","0,00","3,44","0,00","1,72","10,34","0,00"
